target_table,target_column,target_full_name,source_table,source_column,source_full_name,final_score,similarity_method,decision,name_similarity,regex_score,entropy_score,cardinality_score,null_ratio_score,mapping_type,mapping_confidence,transformation_sql,rank
service_status_lookup,service_status_cd,service_status_lookup.service_status_cd,customer_master,status_cd,customer_master.status_cd,0.7591,llm,HUMAN_REVIEW,0.8000,1.0000,0.3609,0.5000,1.0000,derived,0.85,"CASE WHEN service_subscription.service_status_cd IN ('ACTIVE', 'SUSPENDED', 'CLOSED') THEN service_subscription.service_status_cd ELSE (CASE WHEN customer_status_lookup.status_cd IN ('ACTIVE', 'SUSPENDED', 'CLOSED') THEN customer_status_lookup.status_cd ELSE customer_master.status_cd END) END",3
service_status_lookup,service_status_cd,service_status_lookup.service_status_cd,billing_account,account_status_cd,billing_account.account_status_cd,0.7241,llm,REJECT,0.7000,1.0000,0.3609,0.5000,1.0000,,,,4
service_status_lookup,service_status_cd,service_status_lookup.service_status_cd,customer_contact,contact_type_cd,customer_contact.contact_type_cd,0.6264,llm,REJECT,0.2000,1.0000,0.6258,0.7500,1.0000,,,,5
party_address_rel,party_id,party_address_rel.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party_address_rel,party_id,party_address_rel.party_id,customer_address,customer_id,customer_address.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,2
party_address_rel,party_id,party_address_rel.party_id,identity_documents,customer_id,identity_documents.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,3
party_address_rel,party_id,party_address_rel.party_id,service_subscription,customer_id,service_subscription.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,4
party_address_rel,party_id,party_address_rel.party_id,billing_account,customer_id,billing_account.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,5
party_address_rel,rel_id,party_address_rel.rel_id,customer_master,customer_id,customer_master.customer_id,0.7550,llm,HUMAN_REVIEW,0.3000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party_address_rel,rel_id,party_address_rel.rel_id,customer_address,customer_id,customer_address.customer_id,0.7550,llm,HUMAN_REVIEW,0.3000,1.0000,1.0000,1.0000,1.0000,,,,2
party_address_rel,rel_id,party_address_rel.rel_id,identity_documents,customer_id,identity_documents.customer_id,0.7550,llm,HUMAN_REVIEW,0.3000,1.0000,1.0000,1.0000,1.0000,,,,3
party_address_rel,rel_id,party_address_rel.rel_id,service_subscription,customer_id,service_subscription.customer_id,0.7550,llm,HUMAN_REVIEW,0.3000,1.0000,1.0000,1.0000,1.0000,,,,4
party_address_rel,rel_id,party_address_rel.rel_id,billing_account,customer_id,billing_account.customer_id,0.7550,llm,HUMAN_REVIEW,0.3000,1.0000,1.0000,1.0000,1.0000,,,,5
service_status_lookup,service_status_desc,service_status_lookup.service_status_desc,service_subscription,service_status_cd,service_subscription.service_status_cd,0.7903,fuzzy,HUMAN_REVIEW,0.8889,1.0000,0.3609,0.5000,1.0000,derived,0.85,"CASE WHEN service_subscription.service_status_cd IN ('ACTIVE', 'SUSPENDED') THEN service_subscription.service_status_cd ELSE customer_status_lookup.status_cd END",1
service_status_lookup,service_status_desc,service_status_lookup.service_status_desc,customer_status_lookup,status_cd,customer_status_lookup.status_cd,0.7564,llm,HUMAN_REVIEW,0.5000,1.0000,0.7925,0.7500,1.0000,derived,0.85,"CASE WHEN service_subscription.service_status_cd IN ('ACTIVE', 'SUSPENDED') THEN service_subscription.service_status_cd ELSE customer_status_lookup.status_cd END",2
service_status_lookup,service_status_desc,service_status_lookup.service_status_desc,invoice_header,status_cd,invoice_header.status_cd,0.6728,llm,REJECT,0.5000,1.0000,0.4855,0.5000,1.0000,,,,3
service_status_lookup,service_status_desc,service_status_lookup.service_status_desc,customer_master,status_cd,customer_master.status_cd,0.6541,llm,REJECT,0.5000,1.0000,0.3609,0.5000,1.0000,,,,4
service_status_lookup,service_status_desc,service_status_lookup.service_status_desc,billing_account,account_status_cd,billing_account.account_status_cd,0.6541,llm,REJECT,0.5000,1.0000,0.3609,0.5000,1.0000,,,,5
party_address_rel,is_primary,party_address_rel.is_primary,customer_address,is_primary,customer_address.is_primary,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.95,CASE WHEN customer_address.is_primary = 'True' THEN 'True' ELSE customer_contact.is_primary END,1
party_address_rel,is_primary,party_address_rel.is_primary,customer_contact,is_primary,customer_contact.is_primary,0.7750,fuzzy,HUMAN_REVIEW,1.0000,1.0000,0.0000,0.5000,1.0000,derived,0.95,CASE WHEN customer_address.is_primary = 'True' THEN 'True' ELSE customer_contact.is_primary END,2
party_address_rel,is_primary,party_address_rel.is_primary,customer_master,customer_type_cd,customer_master.customer_type_cd,0.7200,llm,REJECT,0.2000,1.0000,1.0000,1.0000,1.0000,,,,3
party_address_rel,is_primary,party_address_rel.is_primary,customer_master,status_cd,customer_master.status_cd,0.4950,llm,REJECT,0.2000,1.0000,0.0000,0.5000,1.0000,,,,4
party_address_rel,is_primary,party_address_rel.is_primary,customer_master,first_name,customer_master.first_name,0.3800,llm,REJECT,0.0000,1.0000,0.0000,0.2000,1.0000,,,,5
address,address_id,address.address_id,customer_address,address_id,customer_address.address_id,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
address,address_id,address.address_id,customer_address,customer_id,customer_address.customer_id,0.7200,llm,REJECT,0.2000,1.0000,1.0000,1.0000,1.0000,,,,2
address,address_id,address.address_id,customer_contact,customer_id,customer_contact.customer_id,0.7155,llm,REJECT,0.2000,1.0000,0.9697,1.0000,1.0000,,,,3
address,address_id,address.address_id,customer_address,state,customer_address.state,0.5192,llm,REJECT,0.5000,0.0000,0.8277,0.8000,1.0000,,,,4
address,address_id,address.address_id,customer_address,city,customer_address.city,0.4700,llm,REJECT,0.2000,0.0000,1.0000,1.0000,1.0000,,,,5
party_address_rel,address_role_cd,party_address_rel.address_role_cd,customer_address,address_type_cd,customer_address.address_type_cd,0.9300,llm,AUTO_ACCEPT,0.8000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN customer_address.address_type_cd IN ('HOME', 'BILLING') THEN 'BILLING' ELSE customer_contact.contact_type_cd END",1
party_address_rel,address_role_cd,party_address_rel.address_role_cd,customer_contact,contact_type_cd,customer_contact.contact_type_cd,0.8119,llm,HUMAN_REVIEW,0.5000,1.0000,0.9129,1.0000,1.0000,derived,0.85,"CASE WHEN customer_address.address_type_cd IN ('HOME', 'BILLING') THEN 'BILLING' ELSE customer_contact.contact_type_cd END",2
party_address_rel,address_role_cd,party_address_rel.address_role_cd,customer_address,city,customer_address.city,0.7036,llm,REJECT,0.5000,1.0000,0.5905,0.6000,1.0000,,,,3
party_address_rel,address_role_cd,party_address_rel.address_role_cd,customer_address,state,customer_address.state,0.6395,llm,REJECT,0.2000,1.0000,0.7134,0.7500,1.0000,,,,4
party_address_rel,address_role_cd,party_address_rel.address_role_cd,customer_contact,is_primary,customer_contact.is_primary,0.6261,llm,REJECT,0.3000,1.0000,0.4741,0.6667,1.0000,,,,5
address,street_1,address.street_1,customer_address,street_1,customer_address.street_1,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"COALESCE(customer_address.street_1, customer_address.street_2)",1
address,street_1,address.street_1,customer_address,street_2,customer_address.street_2,0.6337,fuzzy,REJECT,0.8750,1.0000,0.0000,0.2500,0.4000,derived,0.85,"COALESCE(customer_address.street_1, customer_address.street_2)",2
address,street_1,address.street_1,customer_address,city,customer_address.city,0.5042,llm,REJECT,0.5000,0.0000,0.8614,0.8000,0.8000,,,,3
address,street_1,address.street_1,customer_address,zip_code,customer_address.zip_code,0.4700,llm,REJECT,0.2000,0.0000,1.0000,1.0000,1.0000,,,,4
address,street_1,address.street_1,customer_address,state,customer_address.state,0.4441,llm,REJECT,0.2000,0.0000,0.9609,1.0000,0.8000,,,,5
party_address_rel,address_id,party_address_rel.address_id,customer_address,address_id,customer_address.address_id,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party_address_rel,address_id,party_address_rel.address_id,service_subscription,customer_id,service_subscription.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,2
party_address_rel,address_id,party_address_rel.address_id,customer_master,customer_id,customer_master.customer_id,0.7200,llm,REJECT,0.2000,1.0000,1.0000,1.0000,1.0000,,,,3
party_address_rel,address_id,party_address_rel.address_id,customer_address,customer_id,customer_address.customer_id,0.7200,llm,REJECT,0.2000,1.0000,1.0000,1.0000,1.0000,,,,4
party_address_rel,address_id,party_address_rel.address_id,identity_documents,customer_id,identity_documents.customer_id,0.7200,llm,REJECT,0.2000,1.0000,1.0000,1.0000,1.0000,,,,5
address,street_2,address.street_2,customer_address,street_2,customer_address.street_2,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"COALESCE(customer_address.street_2, customer_address.street_1)",1
address,street_2,address.street_2,customer_address,street_1,customer_address.street_1,0.6337,fuzzy,REJECT,0.8750,1.0000,0.0000,0.2500,0.4000,derived,0.85,"COALESCE(customer_address.street_2, customer_address.street_1)",2
address,street_2,address.street_2,customer_address,country,customer_address.country,0.3550,llm,REJECT,0.1000,0.0000,1.0000,1.0000,0.2000,,,,3
address,street_2,address.street_2,customer_address,is_primary,customer_address.is_primary,0.3200,llm,REJECT,0.0000,0.0000,1.0000,1.0000,0.2000,,,,4
address,street_2,address.street_2,customer_address,zip_code,customer_address.zip_code,0.1475,llm,REJECT,0.2000,0.0000,0.0000,0.2500,0.4000,,,,5
address,city,address.city,customer_address,city,customer_address.city,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
address,city,address.city,customer_address,state,customer_address.state,0.6642,llm,REJECT,0.2000,1.0000,0.8277,0.8000,1.0000,,,,2
address,city,address.city,customer_master,first_name,customer_master.first_name,0.6500,llm,REJECT,0.0000,1.0000,1.0000,1.0000,1.0000,,,,3
address,city,address.city,customer_master,last_name,customer_master.last_name,0.6500,llm,REJECT,0.0000,1.0000,1.0000,1.0000,1.0000,,,,4
address,city,address.city,customer_contact,contact_value,customer_contact.contact_value,0.4533,llm,REJECT,0.2000,0.0000,1.0000,1.0000,0.8333,,,,5
address,state,address.state,customer_address,state,customer_address.state,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
address,state,address.state,customer_address,city,customer_address.city,0.7692,llm,HUMAN_REVIEW,0.5000,1.0000,0.8277,0.8000,1.0000,,,,2
address,state,address.state,customer_contact,contact_type_cd,customer_contact.contact_type_cd,0.7352,llm,REJECT,0.5000,1.0000,0.6512,0.7500,1.0000,,,,3
address,state,address.state,customer_address,address_type_cd,customer_address.address_type_cd,0.6395,llm,REJECT,0.2000,1.0000,0.7134,0.7500,1.0000,,,,4
address,state,address.state,customer_address,country,customer_address.country,0.5625,llm,REJECT,0.5000,1.0000,0.0000,0.2500,1.0000,,,,5
address,zip_code,address.zip_code,customer_address,zip_code,customer_address.zip_code,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
address,zip_code,address.zip_code,customer_contact,contact_value,customer_contact.contact_value,0.6659,llm,REJECT,0.2000,1.0000,0.8614,0.8000,0.9667,,,,2
address,zip_code,address.zip_code,customer_address,street_1,customer_address.street_1,0.4700,llm,REJECT,0.2000,0.0000,1.0000,1.0000,1.0000,,,,3
address,zip_code,address.zip_code,customer_address,state,customer_address.state,0.4441,llm,REJECT,0.2000,0.0000,0.9609,1.0000,0.8000,,,,4
address,zip_code,address.zip_code,customer_master,email_address,customer_master.email_address,0.4000,llm,REJECT,0.0000,0.0000,1.0000,1.0000,1.0000,,,,5
subscription,subscription_id,subscription.subscription_id,service_subscription,subscription_id,service_subscription.subscription_id,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
subscription,subscription_id,subscription.subscription_id,billing_account,billing_account_id,billing_account.billing_account_id,0.8600,llm,HUMAN_REVIEW,0.6000,1.0000,1.0000,1.0000,1.0000,,,,2
subscription,subscription_id,subscription.subscription_id,customer_master,customer_id,customer_master.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,3
subscription,subscription_id,subscription.subscription_id,billing_account,customer_id,billing_account.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,4
subscription,subscription_id,subscription.subscription_id,customer_contact,customer_id,customer_contact.customer_id,0.8205,llm,HUMAN_REVIEW,0.5000,1.0000,0.9697,1.0000,1.0000,,,,5
subscription,party_id,subscription.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,1.0,,1
subscription,party_id,subscription.party_id,identity_documents,customer_id,identity_documents.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,2
subscription,party_id,subscription.party_id,service_subscription,customer_id,service_subscription.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,3
subscription,party_id,subscription.party_id,billing_account,customer_id,billing_account.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,4
subscription,party_id,subscription.party_id,customer_contact,customer_id,customer_contact.customer_id,0.9605,llm,AUTO_ACCEPT,0.9000,1.0000,0.9697,1.0000,1.0000,,,,5
address,country_cd,address.country_cd,customer_address,country,customer_address.country,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
